,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'k': 1, 'P': 1}}",0.2801237498040593,2471.2097091674805
"{'algorithm': 'kNN', 'hyperparameters': {'k': 1, 'P': 2}}",0.28924825758980705,2386.068639278412
"{'algorithm': 'kNN', 'hyperparameters': {'k': 3, 'P': 1}}",0.3087698548139948,2418.182281255722
"{'algorithm': 'kNN', 'hyperparameters': {'k': 3, 'P': 2}}",0.32295308097734804,2466.2927963733673
"{'algorithm': 'kNN', 'hyperparameters': {'k': 5, 'P': 1}}",0.3205993734414882,2481.9540989398956
"{'algorithm': 'kNN', 'hyperparameters': {'k': 5, 'P': 2}}",0.35100313457660065,2486.186983346939
"{'algorithm': 'kNN', 'hyperparameters': {'k': 7, 'P': 1}}",0.3393918264719518,2447.011131286621
"{'algorithm': 'kNN', 'hyperparameters': {'k': 7, 'P': 2}}",0.36268555236241173,2477.966870069504
"{'algorithm': 'kNN', 'hyperparameters': {'k': 9, 'P': 1}}",0.35579188653783544,2434.6513056755066
"{'algorithm': 'kNN', 'hyperparameters': {'k': 9, 'P': 2}}",0.3808206272262899,2460.7827229499817
"{'algorithm': 'kNN', 'hyperparameters': {'k': 11, 'P': 1}}",0.3600411758958205,2388.2520966529846
"{'algorithm': 'kNN', 'hyperparameters': {'k': 11, 'P': 2}}",0.3937673734307524,2436.6947853565216
"{'algorithm': 'kNN', 'hyperparameters': {'k': 13, 'P': 1}}",0.36835150670185063,2448.9654285907745
"{'algorithm': 'kNN', 'hyperparameters': {'k': 13, 'P': 2}}",0.3957326531235347,2480.9159841537476
"{'algorithm': 'kNN', 'hyperparameters': {'k': 15, 'P': 1}}",0.36954744256393257,2462.878366470337
"{'algorithm': 'kNN', 'hyperparameters': {'k': 15, 'P': 2}}",0.4026807298370576,2449.624691724777
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.19426074102442073,5251.0050728321075
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.19844482767542437,5188.680089235306
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 8}}",0.19492763149047268,5255.729219913483
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 16}}",0.1934792009058865,5235.979922294617
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 32}}",0.21031087970492401,5266.665593624115
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 64}}",0.20336037028667206,5252.147734880447
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 128}}",0.2089658837361415,5196.460982561111
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 256}}",0.20933625410651188,5220.279973268509
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 512}}",0.20933625410651188,5178.247580051422
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 1024}}",0.20933625410651188,5212.332930326462
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.01, 'max_depth': 3, 'max_features': None}}",0.2251660317097226,12536.37773323059
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'log2'}}",0.4978260869565217,1234.0911061763763
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.01, 'max_depth': 6, 'max_features': None}}",0.2482747242212846,16528.020440101624
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.01, 'max_depth': 6, 'max_features': 'log2'}}",0.4883671248659807,1635.1337106227875
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.025, 'max_depth': 3, 'max_features': None}}",0.17318987884836073,12538.115243673325
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'log2'}}",0.36819549001242746,1183.273729801178
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.025, 'max_depth': 6, 'max_features': None}}",0.20168639347607092,16628.239991426468
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.025, 'max_depth': 6, 'max_features': 'log2'}}",0.3834918858934,1619.183557510376
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.05, 'max_depth': 3, 'max_features': None}}",0.1671960754928758,12350.697652101517
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'log2'}}",0.29821968110488645,1190.8346638679504
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.05, 'max_depth': 6, 'max_features': None}}",0.17591201383888944,16688.1041264534
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.05, 'max_depth': 6, 'max_features': 'log2'}}",0.32277654335534267,1613.6014618873596
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.1, 'max_depth': 3, 'max_features': None}}",0.16203104340706584,12217.579795360565
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'log2'}}",0.2697842215083066,1210.5730965137482
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.1, 'max_depth': 6, 'max_features': None}}",0.1676622522662481,16075.791937351227
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.1, 'max_depth': 6, 'max_features': 'log2'}}",0.29425523383421315,1627.9668135643005
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.25, 'max_depth': 3, 'max_features': None}}",0.16508202477836684,12071.311633110046
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.25, 'max_depth': 3, 'max_features': 'log2'}}",0.23103142917744676,1154.585965871811
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.25, 'max_depth': 6, 'max_features': None}}",0.16081588335107944,12438.534183979034
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.25, 'max_depth': 6, 'max_features': 'log2'}}",0.2857823480257936,1418.8239369392395
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.5, 'max_depth': 3, 'max_features': None}}",0.1828499907854464,12028.122389554977
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.5, 'max_depth': 3, 'max_features': 'log2'}}",0.23135269853630355,1167.7718496322632
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.5, 'max_depth': 6, 'max_features': None}}",0.17499851722475762,9838.958175420761
"{'algorithm': 'GB', 'hyperparameters': {'learning_rate': 0.5, 'max_depth': 6, 'max_features': 'log2'}}",0.2787143056683382,1119.4998455047607
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.125}}",0.19943658872573253,4287.984761476517
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.25}}",0.19943658872573253,4361.9176297187805
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.5}}",0.19943658872573253,4326.368364810944
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 1}}",0.19943658872573253,4102.236228227615
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 2}}",0.19943658872573253,4327.009831428528
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 4}}",0.19943658872573253,4278.128321170807
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 8}}",0.19943658872573253,4296.3753452301025
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 16}}",0.19943658872573253,4307.524281978607
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.125, 'coef0': 0}}",0.5,4106.148728847504
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.125, 'coef0': 10}}",0.5,4107.5361161231995
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.25, 'coef0': 0}}",0.5,3937.0175411701202
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.25, 'coef0': 10}}",0.5,4138.169593572617
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.5, 'coef0': 0}}",0.36214315733224745,4082.1947152614594
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.5, 'coef0': 10}}",0.36214315733224745,3990.9099683761597
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 1, 'coef0': 0}}",0.27743243729194006,4200.886741161346
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 1, 'coef0': 10}}",0.27743243729194006,4163.082839727402
