,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 1}}",0.43135481402269643,1000.4841632843018
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 3}}",0.4030005166725156,1045.0560522079468
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 5}}",0.39064204692916904,1071.4829943180084
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 7}}",0.37944420279453517,1005.9037697315216
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 9}}",0.3715724790284033,1002.3395075798035
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 11}}",0.369884993442388,1061.7357363700867
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 13}}",0.3621083022549269,1041.9517090320587
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 15}}",0.3619454067446782,1004.4075231552124
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 1}}",0.4443076029841563,993.0961956977844
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 3}}",0.412937732215235,968.9954435825348
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 5}}",0.4061379835723845,999.5613169670105
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 7}}",0.3966420747459265,975.6480388641357
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 9}}",0.3964200085257354,969.5064787864685
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 11}}",0.3902212111700215,1012.6679604053497
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 13}}",0.3899386331235452,1034.987981081009
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 15}}",0.3827846974249972,1023.4398610591888
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.15579108531834845,537.095014333725
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.15464250185126902,536.6241562366486
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 8}}",0.15704548073765545,521.737699508667
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 16}}",0.15341730009336754,558.113395690918
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 32}}",0.15162077087571246,500.7959523200989
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 64}}",0.14288032812242193,501.23099160194397
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 128}}",0.1315422382665748,499.6040549278259
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 256}}",0.12760723509129632,481.47847628593445
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 512}}",0.12100657871049321,451.53579115867615
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 1024}}",0.11982624882255302,371.22705268859863
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.01}}",0.11820411375786607,3374.108575105667
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.025}}",0.1176553841737675,3235.525182247162
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.05}}",0.11909521791104953,3356.752496957779
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.1}}",0.11951775299989904,3265.112780570984
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.25}}",0.12089195838009847,3238.1095468997955
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.5}}",0.12826234516120613,3199.021135568619
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.01}}",0.33617927733027,1480.4477648735046
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.025}}",0.33292498074252413,1451.511926651001
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.05}}",0.32019944959797464,1457.2154121398926
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.1}}",0.2540699434481236,1459.8073511123657
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.25}}",0.1733934812518488,1469.5280084609985
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.5}}",0.17465743299010644,1460.0327739715576
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.01}}",0.1191207077651,4483.923948526382
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.025}}",0.11835410657751763,4600.254880428314
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.05}}",0.11749285143384772,4459.189354419708
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.1}}",0.12163403056321376,4406.748074293137
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.25}}",0.12202458734735729,4421.010143518448
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.5}}",0.12630119332025513,4284.6884644031525
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.01}}",0.2758683690820205,2459.541544675827
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.025}}",0.21837140109739323,2385.0269577503204
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.05}}",0.14271220379737476,2380.5726993083954
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.1}}",0.13582950952214773,2368.3741960525513
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.25}}",0.12771136206791908,2380.224221229553
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.5}}",0.14251587291001933,2364.9601526260376
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.125}}",0.3536785824815069,607.8161795139313
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.25}}",0.3536785824815069,899.7505619525909
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.5}}",0.3536785824815069,1309.2647144794464
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 1}}",0.3536785824815069,1954.7677059173584
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 2}}",0.3532988539483678,2039.6089844703674
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 4}}",0.352257007194117,2006.4263589382172
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 8}}",0.3714037852191262,2054.165600299835
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 16}}",0.40168664227477846,1994.9395370483398
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.125, 'coef0': 0}}",0.34758264757318347,3145.321866750717
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.125, 'coef0': 10}}",0.34758264757318347,3217.593127012253
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.25, 'coef0': 0}}",0.35198960469494833,3058.4679090976715
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.25, 'coef0': 10}}",0.35198960469494833,3122.823591709137
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.5, 'coef0': 0}}",0.355123301577103,3137.956378698349
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.5, 'coef0': 10}}",0.355123301577103,3061.115537881851
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 1, 'coef0': 0}}",0.3579422520141955,3168.947179079056
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 1, 'coef0': 10}}",0.3579422520141955,3197.393726348877
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 2, 'coef0': 0}}",0.35557089945684095,3660.878445625305
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 2, 'coef0': 10}}",0.35557089945684095,3506.6596908569336
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 4, 'coef0': 0}}",0.33028393478122525,3731.417601108551
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 4, 'coef0': 10}}",0.33028393478122525,3804.8170120716095
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 8, 'coef0': 0}}",0.32631843370846375,4113.2154276371
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 8, 'coef0': 10}}",0.32631843370846375,4312.866953611374
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 16, 'coef0': 0}}",0.3248257279009997,4232.522750616074
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 16, 'coef0': 10}}",0.3248257279009997,4169.12522149086
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 0.125, 'coef0': 0}}",0.34254354996170766,2627.2494835853577
