,error,time
"{'hyperparameters': {'P': 1, 'k': 1}, 'algorithm': 'kNN'}",0.0,50.30129027366638
"{'hyperparameters': {'P': 1, 'k': 3}, 'algorithm': 'kNN'}",0.0,77.38137555122375
"{'hyperparameters': {'P': 1, 'k': 5}, 'algorithm': 'kNN'}",0.0,114.59132266044617
"{'hyperparameters': {'P': 1, 'k': 7}, 'algorithm': 'kNN'}",0.0,105.56001496315002
"{'hyperparameters': {'P': 1, 'k': 9}, 'algorithm': 'kNN'}",0.0,167.1772129535675
"{'hyperparameters': {'P': 1, 'k': 11}, 'algorithm': 'kNN'}",0.00037878787878787846,174.15546441078186
"{'hyperparameters': {'P': 1, 'k': 13}, 'algorithm': 'kNN'}",0.00037878787878787846,174.00578498840332
"{'hyperparameters': {'P': 1, 'k': 15}, 'algorithm': 'kNN'}",0.0010247188530536021,217.25508666038513
"{'hyperparameters': {'P': 2, 'k': 1}, 'algorithm': 'kNN'}",0.00012562814070351535,39.226853370666504
"{'hyperparameters': {'P': 2, 'k': 3}, 'algorithm': 'kNN'}",0.0003535067873303155,53.97695779800415
"{'hyperparameters': {'P': 2, 'k': 5}, 'algorithm': 'kNN'}",0.0006014239148094902,63.1623158454895
"{'hyperparameters': {'P': 2, 'k': 7}, 'algorithm': 'kNN'}",0.00072081372387158,94.29457807540894
"{'hyperparameters': {'P': 2, 'k': 9}, 'algorithm': 'kNN'}",0.0013368736227201555,135.6877579689026
"{'hyperparameters': {'P': 2, 'k': 11}, 'algorithm': 'kNN'}",0.002581413708430991,143.52378582954407
"{'hyperparameters': {'P': 2, 'k': 13}, 'algorithm': 'kNN'}",0.0033450692101271496,138.8402328491211
"{'hyperparameters': {'P': 2, 'k': 15}, 'algorithm': 'kNN'}",0.004003287013026555,199.68769550323486
"{'hyperparameters': {'min_samples_split': 2}, 'algorithm': 'CART'}",0.0,5.854830980300903
"{'hyperparameters': {'min_samples_split': 4}, 'algorithm': 'CART'}",0.0,2.965559244155884
"{'hyperparameters': {'min_samples_split': 8}, 'algorithm': 'CART'}",0.0,4.4600818157196045
"{'hyperparameters': {'min_samples_split': 16}, 'algorithm': 'CART'}",0.0,4.3346991539001465
"{'hyperparameters': {'min_samples_split': 32}, 'algorithm': 'CART'}",0.0008355035295365326,7.523846626281738
"{'hyperparameters': {'min_samples_split': 64}, 'algorithm': 'CART'}",0.0034701229806023857,6.623967885971069
"{'hyperparameters': {'min_samples_split': 128}, 'algorithm': 'CART'}",0.00449943131222392,10.522942781448364
"{'hyperparameters': {'min_samples_split': 256}, 'algorithm': 'CART'}",0.01777119748010968,7.5548858642578125
"{'hyperparameters': {'min_samples_split': 512}, 'algorithm': 'CART'}",0.024920015203652626,4.444507122039795
"{'hyperparameters': {'min_samples_split': 1024}, 'algorithm': 'CART'}",0.052439216723636196,6.0906922817230225
"{'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.01}, 'algorithm': 'GB'}",0.021333012658190008,1601.3141157627106
"{'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.025}, 'algorithm': 'GB'}",0.00958507310080962,1596.8331215381622
"{'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.05}, 'algorithm': 'GB'}",0.0008895837179184685,1544.4357044696808
"{'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.1}, 'algorithm': 'GB'}",0.0,1553.193059682846
"{'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.25}, 'algorithm': 'GB'}",0.0,1431.350911617279
"{'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.5}, 'algorithm': 'GB'}",0.0,1076.8324809074402
"{'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.01}, 'algorithm': 'GB'}",0.00497509121561282,2174.952947616577
"{'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.025}, 'algorithm': 'GB'}",0.0,2188.578532934189
"{'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.05}, 'algorithm': 'GB'}",0.0,2201.198493242264
"{'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.1}, 'algorithm': 'GB'}",0.0,1986.5277028083801
"{'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.25}, 'algorithm': 'GB'}",0.0,1231.0032424926758
"{'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.5}, 'algorithm': 'GB'}",0.0,988.3296830654144
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.01}, 'algorithm': 'GB'}",0.010426878188583951,1025.480187177658
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.025}, 'algorithm': 'GB'}",0.010185332294864144,1084.6406679153442
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.05}, 'algorithm': 'GB'}",0.006882302044016161,1085.56303358078
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.1}, 'algorithm': 'GB'}",0.0002509509055643705,1066.7513539791107
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.25}, 'algorithm': 'GB'}",0.0,1105.816160917282
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.5}, 'algorithm': 'GB'}",0.0,984.2101283073425
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.01}, 'algorithm': 'GB'}",0.005220303746213778,1797.9316673278809
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.025}, 'algorithm': 'GB'}",0.0002551286056440699,1777.742961883545
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.05}, 'algorithm': 'GB'}",0.0,1795.7648499011993
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.1}, 'algorithm': 'GB'}",0.0,1582.9185874462128
"{'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.25}, 'algorithm': 'GB'}",0.0,1079.5711781978607
