,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'k': 1, 'P': 1}}",0.27055624192329764,0.4310934543609619
"{'algorithm': 'kNN', 'hyperparameters': {'k': 1, 'P': 2}}",0.28044742536955275,0.34368181228637695
"{'algorithm': 'kNN', 'hyperparameters': {'k': 3, 'P': 1}}",0.28410817882885986,0.40065979957580566
"{'algorithm': 'kNN', 'hyperparameters': {'k': 3, 'P': 2}}",0.27809510454101705,0.38938069343566895
"{'algorithm': 'kNN', 'hyperparameters': {'k': 5, 'P': 1}}",0.26608624754866284,0.5709800720214844
"{'algorithm': 'kNN', 'hyperparameters': {'k': 5, 'P': 2}}",0.26732662601139273,0.3776059150695801
"{'algorithm': 'kNN', 'hyperparameters': {'k': 7, 'P': 1}}",0.2619365393790793,0.45088911056518555
"{'algorithm': 'kNN', 'hyperparameters': {'k': 7, 'P': 2}}",0.27155748399029556,0.39151549339294434
"{'algorithm': 'kNN', 'hyperparameters': {'k': 9, 'P': 1}}",0.26511436525865706,0.6066973209381104
"{'algorithm': 'kNN', 'hyperparameters': {'k': 9, 'P': 2}}",0.26428054608879953,0.5973949432373047
"{'algorithm': 'kNN', 'hyperparameters': {'k': 11, 'P': 1}}",0.263587861467833,0.6310350894927979
"{'algorithm': 'kNN', 'hyperparameters': {'k': 11, 'P': 2}}",0.2707409013392306,0.6692430973052979
"{'algorithm': 'kNN', 'hyperparameters': {'k': 13, 'P': 1}}",0.2826791430931227,0.4830315113067627
"{'algorithm': 'kNN', 'hyperparameters': {'k': 13, 'P': 2}}",0.2798955800587344,0.5229120254516602
"{'algorithm': 'kNN', 'hyperparameters': {'k': 15, 'P': 1}}",0.28243114430222427,0.4373648166656494
"{'algorithm': 'kNN', 'hyperparameters': {'k': 15, 'P': 2}}",0.2819664559494971,0.5284793376922607
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.3253432887528067,0.42215514183044434
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.32434609498093064,0.4979212284088135
