,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 1}}",0.013515193362927272,971.1500864028931
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 3}}",0.014429719933864734,1212.6147513389587
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 5}}",0.014634692277376673,1306.4672677516937
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 7}}",0.016892185936975425,1421.7995240688324
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 9}}",0.023122594574640075,1501.1071798801422
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 11}}",0.02928217885276472,1530.9344687461853
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 13}}",0.03342779282247421,1587.194170475006
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 15}}",0.03632507826906993,1650.066388130188
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 1}}",0.010883059907460418,796.0315589904785
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 3}}",0.013011936871086724,954.4203288555145
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 5}}",0.01707744956627778,1029.055715084076
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 7}}",0.02134301280222283,1087.9391169548035
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 9}}",0.024283661267094626,1115.8063910007477
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 11}}",0.030220599062388644,1142.0633404254913
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 13}}",0.03176361204097422,1203.1343891620636
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 15}}",0.03544222932668931,1210.7833559513092
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.043581269816515805,109.39871883392334
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.04304418531105675,103.57865500450134
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 8}}",0.04468553302010966,96.39045095443726
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 16}}",0.05623665295959738,109.10186386108398
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 32}}",0.06319993280229715,93.98251867294312
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 64}}",0.08261538500731606,90.41439580917358
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 128}}",0.12982241023285443,107.92940378189087
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 256}}",0.14709969145600335,143.4533450603485
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 512}}",0.2701634365153362,80.1403181552887
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 1024}}",0.350804153571812,99.39116525650024
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.01}}",0.4096036190200835,2369.2620792388916
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.025}}",0.1893335303490192,2395.207422018051
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.05}}",0.13392940873412817,2442.121085166931
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.1}}",0.08432669649949542,2411.0393903255463
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.25}}",0.03869880686329445,2423.115660905838
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.5}}",0.025787555787596096,2392.474643468857
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.01}}",0.412271801997295,1448.6670656204224
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.025}}",0.1873989510978588,1474.632254600525
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.05}}",0.14779569171163137,1479.9698033332825
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.1}}",0.09300500362889644,1459.859468460083
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.25}}",0.04098574660554748,1452.1677634716034
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.5}}",0.03405749636217219,1428.1477036476135
