,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'k': 1, 'P': 1}}",0.26175501708747,2372.4117665290833
"{'algorithm': 'kNN', 'hyperparameters': {'k': 1, 'P': 2}}",0.2554101705922609,2411.53485250473
"{'algorithm': 'kNN', 'hyperparameters': {'k': 3, 'P': 1}}",0.2346768974245211,2393.305192708969
"{'algorithm': 'kNN', 'hyperparameters': {'k': 3, 'P': 2}}",0.2110591155935372,2455.259128808975
"{'algorithm': 'kNN', 'hyperparameters': {'k': 5, 'P': 1}}",0.21199332286533804,2428.67391204834
"{'algorithm': 'kNN', 'hyperparameters': {'k': 5, 'P': 2}}",0.2243431280719969,2459.78360581398
"{'algorithm': 'kNN', 'hyperparameters': {'k': 7, 'P': 1}}",0.21044655183325026,2561.8856961727142
"{'algorithm': 'kNN', 'hyperparameters': {'k': 7, 'P': 2}}",0.21815253565173015,2407.2984988689423
"{'algorithm': 'kNN', 'hyperparameters': {'k': 9, 'P': 1}}",0.21170284288512548,2466.415667772293
"{'algorithm': 'kNN', 'hyperparameters': {'k': 9, 'P': 2}}",0.20318503367008986,2394.5708463191986
"{'algorithm': 'kNN', 'hyperparameters': {'k': 11, 'P': 1}}",0.19255847222121567,2437.645917415619
"{'algorithm': 'kNN', 'hyperparameters': {'k': 11, 'P': 2}}",0.19976886314139827,2403.8362991809845
"{'algorithm': 'kNN', 'hyperparameters': {'k': 13, 'P': 1}}",0.19364633156439437,2394.342721223831
"{'algorithm': 'kNN', 'hyperparameters': {'k': 13, 'P': 2}}",0.19616649992949303,2439.809975862503
"{'algorithm': 'kNN', 'hyperparameters': {'k': 15, 'P': 1}}",0.201377623608492,2383.4715316295624
"{'algorithm': 'kNN', 'hyperparameters': {'k': 15, 'P': 2}}",0.19206707784707125,2472.673204421997
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.27311259751044237,4727.237285614014
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.28359170401736866,4681.964419364929
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 8}}",0.27413911648880934,4722.823910713196
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 16}}",0.31364342255266264,4739.183493852615
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 32}}",0.29707889676547505,4755.311273813248
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 64}}",0.3023671159462214,4805.438305854797
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 128}}",0.2748206359031849,4675.900585651398
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 256}}",0.5002830898382813,4661.578245401382
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 512}}",0.5002830898382813,4666.261560916901
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 1024}}",0.5002830898382813,4676.064507484436
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.01, 'max_depth': 3}}",0.4123496439234944,12324.912105560303
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.01, 'max_depth': 6}}",0.38334921640585384,16087.37573838234
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.025, 'max_depth': 3}}",0.346239539355097,12295.703718423843
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.025, 'max_depth': 6}}",0.3463910735440595,16328.01148223877
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.05, 'max_depth': 3}}",0.3111119583372763,11831.515491247177
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.05, 'max_depth': 6}}",0.3310573334815964,16030.976842403412
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.1, 'max_depth': 3}}",0.30006592157307554,12296.07222867012
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.1, 'max_depth': 6}}",0.31951860452428366,16410.213830947876
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.25, 'max_depth': 3}}",0.27672136018500765,11602.88716673851
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.25, 'max_depth': 6}}",0.3351361696389831,11815.812275886536
