,error,time
"{'hyperparameters': {'P': 1, 'k': 1}, 'algorithm': 'kNN'}",0.13687116456524404,295.4753522872925
"{'hyperparameters': {'P': 1, 'k': 3}, 'algorithm': 'kNN'}",0.12954130625010674,313.4475836753845
"{'hyperparameters': {'P': 1, 'k': 5}, 'algorithm': 'kNN'}",0.11879618861978543,313.366822719574
"{'hyperparameters': {'P': 1, 'k': 7}, 'algorithm': 'kNN'}",0.10696529129019132,354.45578694343567
"{'hyperparameters': {'P': 1, 'k': 9}, 'algorithm': 'kNN'}",0.09917974427955938,268.0667333602905
"{'hyperparameters': {'P': 1, 'k': 11}, 'algorithm': 'kNN'}",0.09861193208331591,336.7136778831482
"{'hyperparameters': {'P': 1, 'k': 13}, 'algorithm': 'kNN'}",0.09268855679494473,352.8763647079468
"{'hyperparameters': {'P': 1, 'k': 15}, 'algorithm': 'kNN'}",0.0909515393391368,315.453489780426
"{'hyperparameters': {'P': 2, 'k': 1}, 'algorithm': 'kNN'}",0.15838163979207315,313.0108525753021
"{'hyperparameters': {'P': 2, 'k': 3}, 'algorithm': 'kNN'}",0.1448423472049437,281.0827262401581
"{'hyperparameters': {'P': 2, 'k': 5}, 'algorithm': 'kNN'}",0.13905122174726464,362.09790110588074
"{'hyperparameters': {'P': 2, 'k': 7}, 'algorithm': 'kNN'}",0.13175451816949635,361.9537856578827
"{'hyperparameters': {'P': 2, 'k': 9}, 'algorithm': 'kNN'}",0.1250583195176301,294.91879177093506
"{'hyperparameters': {'P': 2, 'k': 11}, 'algorithm': 'kNN'}",0.1225446349282305,354.6737196445465
"{'hyperparameters': {'P': 2, 'k': 13}, 'algorithm': 'kNN'}",0.11824597604745128,336.1136167049408
"{'hyperparameters': {'P': 2, 'k': 15}, 'algorithm': 'kNN'}",0.11785129458057175,353.55595779418945
"{'hyperparameters': {'min_samples_split': 2}, 'algorithm': 'CART'}",0.07058765223317542,17.371760845184326
"{'hyperparameters': {'min_samples_split': 4}, 'algorithm': 'CART'}",0.06567773486255449,14.483380794525146
"{'hyperparameters': {'min_samples_split': 8}, 'algorithm': 'CART'}",0.05770338790763648,12.535136222839355
"{'hyperparameters': {'min_samples_split': 16}, 'algorithm': 'CART'}",0.050936919980473186,16.081044912338257
"{'hyperparameters': {'min_samples_split': 32}, 'algorithm': 'CART'}",0.04835659248296026,10.655750751495361
"{'hyperparameters': {'min_samples_split': 64}, 'algorithm': 'CART'}",0.045924675197278525,9.585635900497437
"{'hyperparameters': {'min_samples_split': 128}, 'algorithm': 'CART'}",0.04839824670472431,7.4342381954193115
"{'hyperparameters': {'min_samples_split': 256}, 'algorithm': 'CART'}",0.0842733018531957,7.759947776794434
"{'hyperparameters': {'min_samples_split': 512}, 'algorithm': 'CART'}",0.11326508572292542,4.136399030685425
"{'hyperparameters': {'min_samples_split': 1024}, 'algorithm': 'CART'}",0.1929756400677201,3.5154669284820557
"{'hyperparameters': {'learning_rate': 0.01, 'max_depth': 3, 'max_features': None}, 'algorithm': 'GB'}",0.04792917875128895,3879.1302235126495
"{'hyperparameters': {'learning_rate': 0.01, 'max_depth': 6, 'max_features': None}, 'algorithm': 'GB'}",0.03586677640006321,4904.658454418182
"{'hyperparameters': {'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'log2'}, 'algorithm': 'GB'}",0.09329803116068795,2067.4022722244263
"{'hyperparameters': {'learning_rate': 0.01, 'max_depth': 6, 'max_features': 'log2'}, 'algorithm': 'GB'}",0.03860154750470963,3498.80033493042
"{'hyperparameters': {'learning_rate': 0.025, 'max_depth': 3, 'max_features': None}, 'algorithm': 'GB'}",0.03737522299523024,3896.1956145763397
