,error,time
"{'hyperparameters': {'k': 1, 'P': 1}, 'algorithm': 'kNN'}",0.006719367588932804,4.261090040206909
"{'hyperparameters': {'k': 1, 'P': 2}, 'algorithm': 'kNN'}",0.006719367588932804,3.8473002910614014
"{'hyperparameters': {'k': 3, 'P': 1}, 'algorithm': 'kNN'}",0.006719367588932804,5.22048544883728
"{'hyperparameters': {'k': 3, 'P': 2}, 'algorithm': 'kNN'}",0.006719367588932804,3.9128222465515137
"{'hyperparameters': {'k': 5, 'P': 1}, 'algorithm': 'kNN'}",0.006719367588932804,5.090176343917847
"{'hyperparameters': {'k': 5, 'P': 2}, 'algorithm': 'kNN'}",0.006719367588932804,3.512995481491089
"{'hyperparameters': {'k': 7, 'P': 1}, 'algorithm': 'kNN'}",0.006719367588932804,4.080499172210693
"{'hyperparameters': {'k': 7, 'P': 2}, 'algorithm': 'kNN'}",0.006719367588932804,5.395248889923096
"{'hyperparameters': {'k': 9, 'P': 1}, 'algorithm': 'kNN'}",0.006719367588932804,5.024730205535889
"{'hyperparameters': {'k': 9, 'P': 2}, 'algorithm': 'kNN'}",0.006719367588932804,4.519367218017578
"{'hyperparameters': {'k': 11, 'P': 1}, 'algorithm': 'kNN'}",0.006719367588932804,4.371737003326416
"{'hyperparameters': {'k': 11, 'P': 2}, 'algorithm': 'kNN'}",0.006719367588932804,5.427323579788208
"{'hyperparameters': {'k': 13, 'P': 1}, 'algorithm': 'kNN'}",0.006719367588932804,5.199640989303589
"{'hyperparameters': {'k': 13, 'P': 2}, 'algorithm': 'kNN'}",0.006719367588932804,4.450994491577148
"{'hyperparameters': {'k': 15, 'P': 1}, 'algorithm': 'kNN'}",0.006719367588932804,4.860597133636475
"{'hyperparameters': {'k': 15, 'P': 2}, 'algorithm': 'kNN'}",0.006719367588932804,4.014387369155884
"{'hyperparameters': {'min_samples_split': 2}, 'algorithm': 'CART'}",0.009747558408414639,4.662999391555786
"{'hyperparameters': {'min_samples_split': 4}, 'algorithm': 'CART'}",0.009747558408414639,3.827116012573242
"{'hyperparameters': {'min_samples_split': 8}, 'algorithm': 'CART'}",0.010297008957865186,4.728841781616211
"{'hyperparameters': {'min_samples_split': 16}, 'algorithm': 'CART'}",0.01085106384152901,3.782496929168701
"{'hyperparameters': {'min_samples_split': 32}, 'algorithm': 'CART'}",0.01085106384152901,4.743295669555664
"{'hyperparameters': {'min_samples_split': 64}, 'algorithm': 'CART'}",0.03125332861146893,4.4553916454315186
"{'hyperparameters': {'min_samples_split': 128}, 'algorithm': 'CART'}",0.06945812478245912,4.382763624191284
"{'hyperparameters': {'min_samples_split': 256}, 'algorithm': 'CART'}",0.08440768143893382,5.463513135910034
"{'hyperparameters': {'min_samples_split': 512}, 'algorithm': 'CART'}",0.08440768143893382,4.919237375259399
"{'hyperparameters': {'min_samples_split': 1024}, 'algorithm': 'CART'}",0.08440768143893382,4.516328573226929
"{'hyperparameters': {'learning_rate': 0.01, 'max_depth': 3, 'max_features': None}, 'algorithm': 'GB'}",0.019292718953437732,498.1791145801544
"{'hyperparameters': {'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'log2'}, 'algorithm': 'GB'}",0.03769475291214421,380.2185854911804
"{'hyperparameters': {'learning_rate': 0.01, 'max_depth': 6, 'max_features': None}, 'algorithm': 'GB'}",0.009182297973451528,770.6708979606628
"{'hyperparameters': {'learning_rate': 0.01, 'max_depth': 6, 'max_features': 'log2'}, 'algorithm': 'GB'}",0.008893280632411066,814.0769035816193
"{'hyperparameters': {'learning_rate': 0.025, 'max_depth': 3, 'max_features': None}, 'algorithm': 'GB'}",0.013844971453667105,534.6639559268951
