,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 1}}",0.363238311307725,9.705444812774658
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 3}}",0.33367947740645443,10.407581329345703
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 5}}",0.3165480363732394,9.83099913597107
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 7}}",0.2955040266307303,12.08361530303955
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 9}}",0.28520367023535276,16.343043327331543
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 11}}",0.2931883340313856,18.01524043083191
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 13}}",0.2832404608707263,16.735122442245483
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 15}}",0.27759490883926313,17.86397385597229
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 1}}",0.3755135503506143,10.579607963562012
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 3}}",0.4100031372988829,10.576608180999756
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 5}}",0.3742962292914602,13.419617414474487
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 7}}",0.38172174526950164,11.972491979598999
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 9}}",0.3711683373547046,12.148096084594727
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 11}}",0.3611483956600275,11.740264177322388
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 13}}",0.3769659142356111,11.378915548324585
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 15}}",0.35961448685752717,13.925521612167358
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.15200080694426937,30.486927032470703
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.14893075959184326,27.983877897262573
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 8}}",0.15069120948576123,28.723652839660645
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 16}}",0.14510597424155197,30.171714305877686
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 32}}",0.1456947831858239,32.46066689491272
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 64}}",0.149023961508602,31.882800102233887
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 128}}",0.14901899337574895,24.452810525894165
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 256}}",0.1797439993856402,18.102185010910034
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 512}}",0.3085497705676135,6.855259656906128
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 1024}}",0.5,3.5849063396453857
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.01}}",0.1389329159220735,963.1138679981232
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.025}}",0.1113588087424687,925.577228307724
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.05}}",0.09682528510366117,934.3647654056549
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.1}}",0.09483616293268525,921.3558115959167
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.25}}",0.09757146876608382,908.6779446601868
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': None, 'learning_rate': 0.5}}",0.10210267176279413,913.4161319732666
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.01}}",0.2226977541875325,512.9631156921387
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.025}}",0.16403084896323153,517.8732817173004
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.05}}",0.1352577871780242,458.56240010261536
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.1}}",0.11265365430782999,486.42386531829834
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.25}}",0.11075800480921202,475.28729152679443
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'max_features': 'log2', 'learning_rate': 0.5}}",0.12960375566654267,498.57239723205566
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.01}}",0.13383837482120609,1343.5003461837769
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.025}}",0.12036279747772674,1403.5144519805908
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.05}}",0.112355337407986,1395.340160369873
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.1}}",0.09893116627635513,1371.2532274723053
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.25}}",0.10168615515918682,1188.8444895744324
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': None, 'learning_rate': 0.5}}",0.10861618648899407,885.7858884334564
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.01}}",0.12808051232276152,900.9997324943542
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.025}}",0.11568379701301508,965.9922611713409
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.05}}",0.11387348486718123,913.6604874134064
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.1}}",0.11305952184907112,888.5544390678406
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'max_features': 'log2', 'learning_rate': 0.25}}",0.11045769164131625,913.0697994232178
