,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 1}}",0.42210750918746076,0.2757229804992676
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 3}}",0.4187813854062705,0.160353422164917
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 5}}",0.39010069140207204,0.27755141258239746
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 7}}",0.3827135123450155,0.3835279941558838
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 9}}",0.3785951634110244,0.22290372848510742
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 11}}",0.36836277607741186,0.32552337646484375
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 13}}",0.3693056493373761,0.36859798431396484
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 15}}",0.3707642077921805,0.38845229148864746
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 1}}",0.4288634154680556,0.17879533767700195
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 3}}",0.4203258630388699,0.29763317108154297
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 5}}",0.388060697538422,0.20128369331359863
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 7}}",0.39282092645027183,0.1980292797088623
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 9}}",0.3773928105364831,0.3306581974029541
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 11}}",0.37303798665526244,0.4321436882019043
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 13}}",0.3684524255460319,0.3912529945373535
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 15}}",0.36500151135639897,0.5774121284484863
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.39423042715863543,0.21855545043945312
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.38491162358023,0.27071213722229004
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 8}}",0.37113356290208377,0.17240691184997559
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 16}}",0.37301242243499205,0.17095541954040527
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 32}}",0.36691603449675386,0.1434321403503418
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 64}}",0.3609944702540818,0.1742229461669922
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 128}}",0.34449282659094815,0.222686767578125
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 256}}",0.3539221292463678,0.12224435806274414
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 512}}",0.3798112700794258,0.17214322090148926
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 1024}}",0.4126912679663012,0.2126941680908203
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.01, 'max_depth': 3}}",0.35479822802485483,1339.1717009544373
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.01, 'max_depth': 6}}",0.35419492459491064,2621.082907438278
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.025, 'max_depth': 3}}",0.34657803291690553,1315.4447207450867
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.025, 'max_depth': 6}}",0.3575096033993971,2641.1462898254395
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.05, 'max_depth': 3}}",0.3433554153832581,1313.5319871902466
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.05, 'max_depth': 6}}",0.3578013776814374,2608.2660155296326
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'learning_rate': 0.1, 'max_depth': 3}}",0.3402346109683746,1312.4071743488312
