,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 1}}",0.1113074243895485,607.6763737201691
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 3}}",0.10022073530095203,617.6971039772034
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 5}}",0.09902055008932688,663.611736536026
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 7}}",0.10007942344451559,617.2784478664398
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 9}}",0.09754818594260077,659.6730041503906
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 11}}",0.10104189438024387,664.3046379089355
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 13}}",0.0994094563083747,712.5277197360992
"{'algorithm': 'kNN', 'hyperparameters': {'P': 1, 'k': 15}}",0.10267086966343719,677.4080440998077
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 1}}",0.11324679217983002,509.5201292037964
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 3}}",0.10274798923940727,531.1122236251831
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 5}}",0.10129987901875744,565.1561274528503
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 7}}",0.09721674603531791,574.290545463562
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 9}}",0.09840793897862378,577.844156742096
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 11}}",0.10136492030293416,562.3188765048981
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 13}}",0.09906588523347996,574.1607167720795
"{'algorithm': 'kNN', 'hyperparameters': {'P': 2, 'k': 15}}",0.10072996857577003,572.7250638008118
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.11265839578448547,266.15246987342834
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.10923877560324886,282.60369896888733
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 8}}",0.1093137303589565,271.4935636520386
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 16}}",0.10752800551095257,268.3801157474518
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 32}}",0.10333042589797288,295.8584370613098
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 64}}",0.10148359599735132,269.64142084121704
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 128}}",0.11090885270099042,271.72352719306946
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 256}}",0.1170126434081176,253.70613884925842
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 512}}",0.14629904836420665,217.679340839386
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 1024}}",0.14702130643275807,206.76747918128967
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.01, 'max_features': None}}",0.1409004646757658,2114.3629517555237
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.01, 'max_features': 'log2'}}",0.14714234963243308,1215.451566696167
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.025, 'max_features': None}}",0.10318600124264084,2127.650921344757
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.025, 'max_features': 'log2'}}",0.10399977906123885,1218.6600680351257
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.05, 'max_features': None}}",0.08846316642656603,2070.3265550136566
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.05, 'max_features': 'log2'}}",0.08771026607315058,1194.5809674263
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.1, 'max_features': None}}",0.08045833079237331,2068.6131200790405
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.1, 'max_features': 'log2'}}",0.08053267462617894,1182.1624326705933
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.25, 'max_features': None}}",0.07893843308321108,2085.6426842212677
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.25, 'max_features': 'log2'}}",0.07763938494242859,1171.1474859714508
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.5, 'max_features': None}}",0.0778877119828428,2033.3966572284698
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 3, 'learning_rate': 0.5, 'max_features': 'log2'}}",0.07927495677829312,1181.5142531394958
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.01, 'max_features': None}}",0.11253603495992334,3301.719586610794
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.01, 'max_features': 'log2'}}",0.1125018835578984,2019.0232043266296
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.025, 'max_features': None}}",0.08561762998061984,3405.4998071193695
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.025, 'max_features': 'log2'}}",0.08903058213534581,1892.0034492015839
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.05, 'max_features': None}}",0.07919656554854064,3243.385524749756
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.05, 'max_features': 'log2'}}",0.08034711090586463,1923.757287979126
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.1, 'max_features': None}}",0.0769702826837905,3317.0278413295746
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.1, 'max_features': 'log2'}}",0.07714536567896761,1911.3553171157837
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.25, 'max_features': None}}",0.07762771569151479,3142.08771109581
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.25, 'max_features': 'log2'}}",0.07691584701038075,1895.6982583999634
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.5, 'max_features': None}}",0.08024418813627189,3133.631191253662
"{'algorithm': 'GB', 'hyperparameters': {'max_depth': 6, 'learning_rate': 0.5, 'max_features': 'log2'}}",0.0803019718470443,1853.4126448631287
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.125}}",0.08102945193364222,675.1895384788513
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.25}}",0.0803190182806161,695.1721308231354
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.5}}",0.08037230903622174,676.018890619278
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 1}}",0.08037001250797869,723.8077881336212
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 2}}",0.08037249751604748,801.9368290901184
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 4}}",0.08003752744125335,832.3870701789856
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 8}}",0.08410562855934263,993.3463973999023
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 16}}",0.08070504208089713,1102.3896043300629
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.125, 'coef0': 0}}",0.08716142757618357,1151.9839725494385
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.25, 'coef0': 0}}",0.08262331137168777,1136.3445029258728
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.5, 'coef0': 0}}",0.08281082219116599,1088.6701452732086
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 1, 'coef0': 0}}",0.08114463370995263,1044.4173755645752
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 2, 'coef0': 0}}",0.08177977790516278,1088.5443286895752
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 4, 'coef0': 0}}",0.08161080194915926,1079.832389831543
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 8, 'coef0': 0}}",0.08080104858360164,1073.7255964279175
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 16, 'coef0': 0}}",0.08224737731870917,1132.5592358112335
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.125, 'coef0': 10}}",0.08716142757618357,1172.931797027588
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.25, 'coef0': 10}}",0.08262331137168777,1119.8006994724274
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 0.5, 'coef0': 10}}",0.08281082219116599,1071.119612455368
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 1, 'coef0': 10}}",0.08114463370995263,1051.379887342453
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 2, 'coef0': 10}}",0.08177977790516278,1030.5600638389587
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 4, 'coef0': 10}}",0.08161080194915926,1073.5228297710419
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 8, 'coef0': 10}}",0.08080104858360164,1066.3567852973938
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'rbf', 'C': 16, 'coef0': 10}}",0.08224737731870917,1116.0133109092712
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 0.125, 'coef0': 0}}",0.15887979627611432,1057.9996404647827
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 0.25, 'coef0': 0}}",0.13740105572446135,983.7360725402832
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 0.5, 'coef0': 0}}",0.12589049930662016,965.8161339759827
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 1, 'coef0': 0}}",0.11934733190510523,929.5954196453094
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 2, 'coef0': 0}}",0.11058166101498856,952.1845102310181
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 4, 'coef0': 0}}",0.10589877014460661,940.51016664505
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 8, 'coef0': 0}}",0.10081809562028887,998.4547252655029
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 16, 'coef0': 0}}",0.09540645492194602,1077.669951915741
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 0.125, 'coef0': 10}}",0.08264758750761358,1126.8960041999817
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 0.25, 'coef0': 10}}",0.08374691649933505,1313.8915417194366
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 0.5, 'coef0': 10}}",0.08451405879672758,1673.2485783100128
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 1, 'coef0': 10}}",0.08617759730557936,2363.4961137771606
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 2, 'coef0': 10}}",0.0882175545456149,3193.203523159027
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 4, 'coef0': 10}}",0.0876288829892726,4354.352031469345
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 8, 'coef0': 10}}",0.08811245388225102,5679.167145490646
"{'algorithm': 'kSVM', 'hyperparameters': {'kernel': 'poly', 'C': 16, 'coef0': 10}}",0.09069165253238069,6885.997847318649
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 0.25, 'penalty': 'l1'}}",0.08132130368226115,114.98945307731628
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 0.5, 'penalty': 'l1'}}",0.07993141779459399,149.64379739761353
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 0.75, 'penalty': 'l1'}}",0.07932203501012014,129.51255822181702
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 1, 'penalty': 'l1'}}",0.07949610271018437,133.5826292037964
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 1.5, 'penalty': 'l1'}}",0.07969448141275026,138.7785928249359
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 2, 'penalty': 'l1'}}",0.07969448141275026,160.1444399356842
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 3, 'penalty': 'l1'}}",0.0796957083125279,167.488214969635
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 4, 'penalty': 'l1'}}",0.0796957083125279,165.64239835739136
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 0.25, 'penalty': 'l2'}}",0.08435068900854692,124.61769080162048
"{'algorithm': 'Logit', 'hyperparameters': {'Solver': 'liblinear', 'C': 0.5, 'penalty': 'l2'}}",0.08324570227032532,140.25265264511108
